year,price,location,branch,model,origin,km_driven,external_color,internal_color,num_seats,fuels,engine_capacity,gearbox,wheel_drive,car_type,prediction
2018,779.0,0,0,0,0,0.0,0,0,0,0,2.0,0,0,0,998.0033333333334
2009,212.0,1,1,1,0,0.0,1,1,1,0,2.4,1,0,1,323.1036666666667
2021,1050.0,2,2,2,0,14000.0,2,2,1,0,2.0,0,1,1,1498.045
2018,829.0,2,3,3,1,50000.0,3,2,0,1,2.0,0,2,2,1080.7529047619048
2020,733.0,2,4,4,0,25000.0,3,0,0,0,1.4,0,0,0,603.1741666666667
2016,638.0,2,5,5,0,100000.0,4,3,2,0,2.7,0,1,1,953.8
2008,249.0,3,5,6,0,131000.0,4,0,2,0,2.0,1,1,0,280.74666666666667
2014,535.0,2,3,3,1,0.0,5,3,0,1,2.2,0,1,2,755.72
2019,1175.0,2,0,7,0,34000.0,6,4,1,1,2.2,0,3,1,1113.843
2018,1310.0,2,6,8,0,50000.0,6,2,0,0,2.0,0,1,3,843.1189999999999
2017,805.0,4,5,5,1,89000.0,6,4,2,0,2.7,0,1,1,845.1225
2018,485.0,5,7,9,0,25000.0,0,2,0,0,1.5,0,0,3,714.8
2018,345.0,2,0,10,0,42000.0,4,5,0,0,1.25,0,0,4,460.07
2020,13390.0,2,6,11,1,7000.0,6,4,0,0,4.0,0,3,1,5539.568166666667
2016,393.0,2,8,12,0,60000.0,6,6,0,0,1.4,0,0,4,426.64
2009,195.0,6,0,13,1,0.0,4,3,0,0,1.4,0,0,4,342.44
2014,230.0,7,4,14,1,0.0,7,3,3,0,1.0,0,0,5,248.94
2011,280.0,2,4,14,1,13.0,7,7,0,0,1.0,0,0,4,260.92
2018,798.0,8,0,7,0,0.0,6,6,1,0,2.4,0,2,1,1039.1583333333333
2015,1350.0,4,9,15,1,0.0,8,8,0,0,2.0,0,0,4,1006.5766666666666
2018,866.0,9,7,16,1,60000.0,6,6,1,0,1.5,0,0,1,841.98
2018,540.0,2,10,17,0,0.0,9,2,0,0,1.5,0,0,3,771.7625
2007,143.0,10,5,18,0,0.0,9,6,0,0,1.5,1,0,3,153.29
2005,199.0,11,5,19,0,190000.0,9,6,0,0,1.8,1,0,3,178.69
2006,185.0,12,5,6,0,0.0,3,4,2,0,2.0,1,1,0,244.9
2011,389.0,2,5,5,0,0.0,4,0,2,0,2.7,0,2,1,890.91
2020,4299.0,4,6,20,0,0.0,6,4,0,0,3.0,0,1,3,3638.79
2020,1560.0,4,6,8,0,9000.0,6,2,0,0,2.0,0,1,3,954.3973333333332
2007,639.0,2,11,21,1,0.0,8,0,0,0,3.5,0,0,3,470.2
2021,595.0,13,12,22,1,2000.0,0,3,0,0,1.5,0,0,0,652.035
2020,2530.0,2,6,23,0,7000.0,9,4,0,0,2.0,0,1,3,923.14
2011,548.0,4,5,24,0,75500.0,4,0,0,0,2.4,0,0,3,510.66
2016,2980.0,2,11,25,1,40000.0,6,4,0,0,3.5,0,3,1,1443.7953333333332
2017,845.0,2,3,3,1,45000.0,6,9,0,1,3.2,0,2,2,2364.6426666666666
2010,275.0,14,5,6,0,200000.0,4,6,2,0,2.0,1,1,0,359.475
2019,518.0,4,8,12,1,0.0,7,0,0,0,1.2,0,0,4,389.86
2007,290.0,2,7,26,0,60000.0,9,7,0,0,2.0,0,0,3,316.63
2020,860.0,6,10,27,0,35000.0,7,7,0,0,2.5,0,0,3,1352.3041666666668
2015,410.0,4,5,19,0,0.0,4,10,0,0,1.8,1,0,3,401.73
2020,745.0,8,5,28,1,20000.0,0,2,0,1,2.4,0,1,2,870.6166666666667
2018,635.0,15,5,19,0,36000.0,9,5,0,0,1.8,0,0,3,704.9
2017,410.0,16,0,29,0,700000.0,10,0,0,0,1.6,1,0,3,393.53
2009,196.0,17,5,18,0,0.0,9,6,0,0,1.5,1,0,3,194.335
2020,1180.0,4,5,24,1,20000.0,6,0,0,0,2.5,0,0,3,849.85
2017,1300.0,18,13,30,1,151000.0,8,0,0,0,2.0,0,1,3,643.6633333333333
2019,669.0,4,5,6,0,32000.0,6,4,2,0,2.0,0,1,0,873.1633333333333
2019,1050.0,2,7,31,1,16000.0,9,2,0,0,1.5,0,0,3,732.0083571428571
2015,405.0,18,4,32,1,78000.0,0,0,0,0,1.4,0,0,4,443.815
2020,535.0,19,0,33,0,8000.0,6,9,0,0,1.4,0,0,3,703.56
2011,1480.0,4,14,34,1,0.0,6,11,4,0,4.8,0,1,3,1414.24
2008,265.0,2,1,1,0,100000.0,11,0,1,0,2.4,1,0,1,289.42
2021,362.0,20,2,35,0,7000.0,6,2,0,0,1.4,0,0,4,698.835
2005,143.0,4,3,36,0,0.0,9,6,0,0,2.3,0,2,1,246.48
2005,258.0,16,5,24,0,155500.0,9,2,0,0,2.4,1,0,3,204.12
2011,347.0,1,5,28,1,100000.0,4,12,0,1,2.5,1,1,2,368.91
2008,196.0,2,4,14,1,86000.0,8,2,0,0,1.0,0,0,4,209.5975
2015,2020.0,2,6,20,0,52000.0,7,0,0,0,3.0,0,1,3,1390.78
2003,73.0,21,15,37,0,0.0,6,6,0,0,1.6,1,0,3,109.47
2018,1390.0,4,6,38,0,0.0,9,2,0,0,2.0,0,1,1,1012.2741666666667
2009,113.0,22,15,39,0,0.0,4,6,0,0,1.5,1,0,3,180.26
2004,153.0,8,3,36,0,0.0,0,6,0,0,3.0,0,2,1,266.13
