year,price,location,branch,model,origin,km_driven,external_color,internal_color,num_seats,fuels,engine_capacity,gearbox,wheel_drive,car_type
2009,620.0,0,0,0,0,80000.0,0,0,0,0,2.5,0,0,0
2016,895.0,0,1,1,0,20000.0,1,1,0,0,2.0,0,1,0
2017,825.0,0,2,2,1,33000.0,2,1,1,1,2.2,0,2,1
2010,920.0,0,0,3,0,110000.0,3,2,1,0,2.7,0,2,1
2020,1559.0,1,3,4,1,9600.0,3,1,0,0,2.0,0,1,0
2019,538.0,1,4,5,1,44000.0,3,1,0,0,1.5,0,0,0
2012,500.0,1,0,6,1,100000.0,0,3,2,0,2.7,0,1,1
2011,450.0,0,1,1,0,61000.0,3,2,0,0,2.0,0,1,0
2021,940.0,2,5,7,1,4000.0,1,2,0,0,2.0,0,1,0
2015,2050.0,1,3,8,1,28573.0,2,4,0,0,3.0,0,1,0
2016,2680.0,0,6,9,0,65000.0,4,2,0,0,2.0,0,3,1
2021,850.0,0,5,7,1,12000.0,3,2,0,0,2.0,0,1,0
2019,4850.0,0,0,10,0,35000.0,2,1,2,0,4.6,0,3,1
2019,935.0,1,5,11,1,22000.0,3,1,1,0,2.0,0,1,1
2012,1099.0,0,7,12,0,60000.0,1,5,0,0,2.0,0,3,1
2014,255.0,3,8,13,1,90.0,3,2,0,0,1.5,1,0,0
2009,365.0,0,4,14,1,10000.0,2,1,0,0,2.4,0,0,1
2011,389.0,4,0,6,1,90000.0,2,2,2,0,2.7,0,2,1
2017,1430.0,0,3,15,1,50000.0,4,6,0,0,2.0,0,3,1
2021,2310.0,0,3,16,1,30.0,3,1,0,0,2.0,0,1,0
2021,505.0,5,0,17,1,29990.0,3,2,0,0,1.5,0,0,0
2009,176.0,6,0,17,1,0.0,2,2,0,0,1.5,1,0,0
2009,309.0,0,9,18,0,160000.0,0,1,0,0,1.6,0,0,0
2019,400.0,7,0,17,1,112000.0,3,2,0,0,1.5,1,0,0
2005,565.0,0,10,19,0,150000.0,4,2,0,0,3.3,0,3,1
2016,448.0,0,11,20,1,38000.0,1,1,0,0,1.5,0,0,2
2010,272.0,0,0,21,1,10000.0,0,2,2,0,2.0,1,1,3
2015,386.0,0,4,5,1,68000.0,0,1,0,0,1.5,0,0,0
2015,465.0,8,0,22,0,40000.0,3,1,0,0,1.3,0,0,2
2018,435.0,1,2,23,1,70000.0,2,2,0,0,1.6,1,0,0
2017,725.0,0,12,24,0,38000.0,1,1,1,0,2.0,0,0,1
2006,293.0,9,3,16,1,0.0,2,0,0,0,3.0,0,1,0
2010,215.0,6,9,25,0,0.0,5,1,0,0,1.0,0,0,2
2010,273.0,1,2,26,0,61000.0,0,0,0,0,1.4,0,0,2
2010,318.0,10,0,27,0,0.0,0,0,0,1,3.0,1,2,4
2016,345.0,1,13,28,1,21000.0,1,2,0,0,1.6,1,0,0
2018,515.0,1,14,29,1,12000.0,3,0,0,0,1.5,0,0,1
2009,193.0,0,15,30,0,0.0,0,0,0,0,1.0,0,0,2
2016,1600.0,0,3,31,0,50.0,3,2,1,0,2.0,0,1,5
2015,1950.0,0,1,32,0,80000.0,2,6,1,0,3.0,0,3,1
